Ticker,Strategy,Total_Return,Win_Rate,Max_Drawdown,Sharpe_Ratio,Profit_Factor,Total_Trades,Winning_Trades,Losing_Trades,Avg_Trade_Days,Avg_Win,Avg_Loss,Max_Win,Max_Loss,Start_Date,End_Date,Initial_Cash,Final_Value
,OBV Strategy,-6.0566278,33.33333333333333,55.96384,0.0768988134191603,1.2100510115887185,54,18,36,27,861.4054,355.9376388888888889,7191.2,-2685.93,2024-06-09T00:00:00Z,2024-12-30T00:00:00Z,100000,93943.3722
,RSI Strategy2,-2.6418698,39.58333333333333,46.99734469689782,0.0990804257641515,0.8463785816528894,48,19,29,29.7916666666666667,381.0723789473684211,294.9839655172413793,1132.45,-767.776,2024-06-09T00:00:00Z,2024-12-30T00:00:00Z,100000,97358.1302
