0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Ticker,Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,SMA10,SMA50,SMA200,RSI_14,CMF_20,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,OBV_SMA_Diff,EMA5,EMA10,EMA20,EMA50,PSARl_0.02_0.2,PSARl_0.01_0.1,OBV_RoC,ATR,Rolling_Std_10,Rolling_Std_50,RSI Strategy,RSI Strategy2,RSI14_OBV_RoC Strategy,RSIMACD Strategy,RSICMF Strategy,RSI OBV Strategy,OBV Strategy,MACD Strategy,CMF Strategy,EMA5 PSAR Strategy,EMA5 PSAR Strategy2,Rolling Std10 Strategy,Rolling Std50 Strategy,RSI Strategy Alt,RSI Strategy2 Alt,RSI14_OBV_RoC Strategy Alt,RSIMACD Strategy Alt,RSICMF Strategy Alt,RSI OBV Strategy Alt,OBV Strategy Alt,MACD Strategy Alt,CMF Strategy Alt,EMA5 PSAR Strategy Alt,EMA5 PSAR Strategy2 Alt,Rolling Std10 Strategy Alt,Rolling Std50 Strategy Alt
BCIH,2023-06-19 00:00:00,2.2,2.2,2.2,2.2,0.0,0.0,100000,220000,2.2,2.26,,0.06,0.0,-0.02,-0.02,0.0,-40000.0,2.2001370194956325,2.203629455615878,2.218208571678895,2.257906194756776,2.2,2.2,0.0,0.0025085368180689,0.0,0.0424090864348935,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Hold-Hold,Hold-Hold
BCOI,2024-04-03 00:00:00,0.79,0.79,0.79,0.79,0.0,0.0,9843926,7776702,0.79,0.86,0.68,41.72,-0.5,-0.02,-0.02,-0.0,-83975998.0,0.7833391135287386,0.7899862549087799,0.8079719144156048,0.8234741683864608,0.77,0.77,0.0,0.0156701698451876,0.0207899548393429,0.0441282916329941,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Hold-Hold,Hold-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Hold-Hold,Hold-Hold
BEFI,2024-04-03 00:00:00,0.21,0.21,0.23,0.21,0.01,5.0,200267385,45056432,0.2,0.21,0.19,52.1,-0.02,-0.0,-0.0,0.0,158245766.0,0.2043828501931177,0.2045772075902138,0.2059443538376468,0.2075401955002772,0.2,0.2,-0.1690085043761446,0.0103708398311546,0.0052704627670578,0.0095532877128333,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Sell,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy,Monitor-Monitor,Sell,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
BGUC,2024-04-03 00:00:00,0.17,0.17,0.17,0.17,0.01,6.25,15002794,2550475,0.17,0.18,0.18,46.15,-0.25,-0.0,-0.0,-0.0,-61710446.55000305,0.166083508148075,0.1677632259717348,0.1716996431090539,0.1779478954222286,0.16,0.16,-0.0147882251376185,0.003821399578509,0.0048304589154103,0.0096235255961643,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Hold-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy,Buy,Hold-Hold,Hold-Hold
BIBI,2024-04-03 00:00:00,0.33,0.33,0.33,0.33,-0.01,-2.94,17250000,5692500,0.35,0.39,0.38,20.73,-0.26,-0.01,-0.01,-0.0,-51258619.79999924,0.3396554980181823,0.3460074662331274,0.3552118088982587,0.3790191418408692,0.33,0.33,-0.0585014988949805,0.0069843759977305,0.0103279555897686,0.0536523198806294,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Sell,Sell,Hold,Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Sell,Sell,Hold-Hold,Monitor-Monitor
BIIB,2024-04-03 00:00:00,0.85,0.87,0.87,0.85,-0.02,-2.3,4000000,3431155,0.91,0.93,0.65,33.46,0.09,-0.02,-0.0,-0.01,-25710080.94999695,0.8777475756619071,0.8995022605721102,0.9200816565084762,0.8964108378368159,0.89,0.89,-0.0074405610662964,0.021572065728898,0.0337309617084647,0.0681310262266328,Buy,Buy,Hold,Hold,Buy,Hold,Sell,Hold,Buy,Sell,Sell,Hold,Hold,Buy,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Buy,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Buy-Hold,Sell,Sell,Hold-Hold,Monitor-Monitor
BIME,2024-04-03 00:00:00,0.11,0.1,0.11,0.1,0.01,10.0,564360,62032,0.1,0.11,0.12,63.52,0.0,-0.0,-0.0,0.0,-8563053.0,0.1033679233922521,0.1024540726643768,0.1037920259130898,0.1080857984311554,0.1,0.1,-0.0061956272641605,0.001520627650172,0.003162277659752,0.0075484827508874,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Hold,Hold-Hold,Sell,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Hold-Hold,Monitor-Monitor
BINT,2024-04-03 00:00:00,0.8,0.8,0.8,0.8,0.0,0.0,621272,497018,0.81,1.88,1.76,27.67,-0.14,-0.34,-0.34,-0.01,-1203588.0,0.8208646293047648,0.9122846129206352,1.1764745747821084,1.5991097284914009,0.8,0.8,0.0,0.1055133123550583,0.0356058671818729,0.6441272849240843,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Buy,Buy,Monitor-Monitor,Monitor-Monitor,Hold-Hold,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy,Buy,Monitor-Monitor,Monitor-Monitor
BLAD,2024-03-28 00:00:00,0.12,0.12,0.12,0.12,0.0,0.0,15670279,1880434,0.13,0.13,0.17,35.59,-0.04,-0.0,-0.0,-0.0,25256541.349999905,0.1244523856281408,0.1266171864105026,0.1281312638991061,0.1358995431576503,0.12,0.14,0.0,0.0025462555872929,0.0042163702135584,0.0090441095950556,Hold,Buy,Hold,Hold,Hold,Hold,Buy,Hold,Sell,Buy,Sell,Buy,Hold,Monitor-Monitor,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy,Monitor-Monitor,Sell-Monitor,Buy,Sell-Monitor,Buy-Hold,Monitor-Monitor
BMFI,2024-04-03 00:00:00,0.19,0.19,0.19,0.19,0.0,0.0,1000000,190000,0.19,0.2,0.21,34.6,-0.09,-0.0,-0.0,-0.0,12022819.199996948,0.1903006754148425,0.1918499365252034,0.1955686224335472,0.2006544435476115,0.19,0.19,0.0,0.0029599053168343,0.0042163702135943,0.0093131462931392,Buy,Buy,Hold,Hold,Hold,Buy,Buy,Hold,Sell,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Hold-Hold,Hold-Hold
BMNS,2024-04-03 00:00:00,1.32,1.32,1.33,1.31,0.0,0.0,20191087,26659504,1.32,1.4,0.93,48.98,0.24,-0.01,-0.01,-0.0,5628147844.4,1.30901511096843,1.3140196911390556,1.3239863145356747,1.3057707078741354,1.29,1.29,0.0,0.0383920721472587,0.0283823106098443,0.1570046145168682,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Hold,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Monitor-Monitor,Buy-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
BNOI,2024-04-02 00:00:00,3.6,3.43,3.69,3.25,0.2,5.88,589581927,1935244672,3.61,3.39,2.39,52.28,-0.01,0.02,0.08,-0.05,382453307.7000008,3.523214486871937,3.5660485445592283,3.579856687206964,3.382638976872004,3.4,3.4,2.041251148454704,0.1744534678825534,0.1902775750201784,0.3184303979951554,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Sell,Sell,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy,Sell-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
BROI,2024-04-03 00:00:00,0.95,0.95,0.95,0.95,0.0,0.0,9700000,9215000,0.93,1.01,0.74,45.53,-0.13,-0.02,-0.02,0.0,-19758612.849999905,0.9386781249326788,0.9399703930036905,0.9550307878718658,0.9618306535194372,0.91,0.91,0.0,0.0187446995588547,0.014944341181374,0.0589157128827959,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Hold-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Hold-Hold,Hold-Hold
BSUC,2024-04-03 00:00:00,0.1,0.1,0.1,0.1,0.0,0.0,108440,10844,0.1,0.11,0.14,45.42,-0.25,-0.0,-0.0,0.0,-577022763.25,0.100672483963085,0.1011545150939383,0.1027381625218981,0.1092681804325637,0.1,0.1,0.0,0.0055179269834419,0.0031622776601789,0.0087970310390952,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Monitor-Monitor,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Hold-Hold
