Ticker,Buy Date,Sell Date,Buy Price,Sell Price,Profit,Profit Percent,Gain Factor,Trade Status,Buy Price Commission,Sell Price Commission,Profit Commission,Profit Percent Commission,Gain Factor Commission,Simulation Status,Trade Iteration Number,1th Iteration,2th Iteration,3th Iteration,4th Iteration,5th Iteration
BMNS,2023-05-22,2023-05-28 00:00:00,0.59,0.58,-0.01,-1.6949152542372898,0.983050847457627,Closed,0.5903539999999999,0.579652,-0.0107019999999999,-1.812810618713516,0.9818718938128648,True,1,0.9818718938128648,,,,
TASC,2023-05-23,2023-05-28 00:00:00,8.32,8.1,-0.2200000000000006,-2.6442307692307767,0.9735576923076922,Closed,8.324992,8.095139999999999,-0.229852000000001,-2.760987638186332,0.9723901236181368,True,2,,0.9723901236181368,,,
BBOB,2023-05-31,2023-06-06 00:00:00,2.1,2.2,0.1,4.761904761904765,1.0476190476190477,Closed,2.10126,2.19868,0.09742,4.636265859531903,1.046362658595319,True,1,1.046362658595319,,,,
IBSD,2023-06-04,2023-07-25 00:00:00,2.95,3.24,0.29,9.830508474576272,1.0983050847457627,Closed,2.95177,3.2380560000000003,0.286286,9.698790894954554,1.0969879089495456,True,2,,1.0969879089495456,,,
BNOI,2023-06-14,2023-06-15 00:00:00,1.17,1.16,-0.01,-0.8547008547008554,0.9914529914529916,Closed,1.170702,1.159304,-0.011398,-0.973603871864917,0.9902639612813507,True,1,0.9902639612813507,,,,
BNOI,2023-06-18,2023-06-19 00:00:00,1.17,1.16,-0.01,-0.8547008547008554,0.9914529914529916,Closed,1.170702,1.159304,-0.011398,-0.973603871864917,0.9902639612813507,True,1,0.9902639612813507,,,,
BMNS,2023-06-19,2023-09-21 00:00:00,0.61,0.94,0.3299999999999999,54.0983606557377,1.540983606557377,Closed,0.610366,0.939436,0.32907,53.91355350723992,1.5391355350723992,True,3,,,1.5391355350723992,,
BNOI,2023-06-20,2023-06-21 00:00:00,1.17,1.16,-0.01,-0.8547008547008554,0.9914529914529916,Closed,1.170702,1.159304,-0.011398,-0.973603871864917,0.9902639612813507,True,1,0.9902639612813507,,,,
BNOI,2023-06-22,2023-09-12 00:00:00,1.24,1.9,0.6599999999999999,53.2258064516129,1.532258064516129,Closed,1.240744,1.89886,0.6581159999999999,53.04204574029775,1.5304204574029774,True,1,1.5304204574029774,,,,
BBOB,2023-07-12,2023-08-01 00:00:00,2.26,2.24,-0.0199999999999995,-0.8849557522123707,0.9911504424778764,Closed,2.261356,2.238656,-0.0226999999999995,-1.003822485269878,0.9899617751473012,True,4,,,,0.9899617751473012,
