Ticker,Buy Date,Sell Date,Buy Price,Sell Price,Profit,Profit Percent,Gain Factor,Trade Status,Buy Price Commission,Sell Price Commission,Profit Commission,Profit Percent Commission,Gain Factor Commission
BBOB,2023-04-05,2023-04-13 00:00:00,1.76,1.75,-0.010000000000000009,-0.5681818181818187,0.9943181818181818,Closed,1.761056,1.74895,-0.01210599999999995,-0.6874284520196945,0.9931257154798031
IBSD,2023-04-05,2023-04-13 00:00:00,2.7,2.68,-0.020000000000000018,-0.7407407407407414,0.9925925925925926,Closed,2.70162,2.678392,-0.023228000000000026,-0.8597804280394736,0.9914021957196053
TASC,2023-04-05,2023-06-05 00:00:00,7.86,7.49,-0.3700000000000001,-4.707379134860052,0.9529262086513994,Closed,7.8647160000000005,7.485506,-0.3792100000000005,-4.821661710352929,0.9517833828964707
BNOI,2023-04-05,2023-05-04 00:00:00,1.27,1.32,0.050000000000000044,3.9370078740157513,1.0393700787401574,Closed,1.270762,1.3192080000000002,0.04844600000000021,3.812358254338752,1.0381235825433874
IBSD,2023-04-16,2023-04-30 00:00:00,3.15,3.06,-0.08999999999999986,-2.8571428571428523,0.9714285714285714,Closed,3.15189,3.058164,-0.09372599999999975,-2.973644384797685,0.9702635561520232
BBOB,2023-04-16,2023-05-15 00:00:00,2.03,2.16,0.13000000000000034,6.403940886699525,1.0640394088669953,Closed,2.031218,2.158704,0.1274860000000002,6.2763327225339784,1.0627633272253398
BMNS,2023-04-18,2023-05-03 00:00:00,0.55,0.56,0.010000000000000009,1.8181818181818195,1.0181818181818183,Closed,0.5503300000000001,0.559664,0.009333999999999953,1.6960732651318213,1.0169607326513181
IBSD,2023-05-03,2023-05-17 00:00:00,3.08,3.04,-0.040000000000000036,-1.2987012987012998,0.987012987012987,Closed,3.081848,3.038176,-0.04367199999999993,-1.417071834821183,0.9858292816517882
BMNS,2023-05-08,2023-05-14 00:00:00,0.58,0.58,0.0,0.0,1.0,Closed,0.580348,0.579652,-0.0006960000000000299,-0.11992804317410072,0.998800719568259
BNOI,2023-05-09,2023-05-14 00:00:00,1.31,1.26,-0.050000000000000044,-3.8167938931297747,0.9618320610687022,Closed,1.310786,1.259244,-0.05154199999999998,-3.9321445300758455,0.9606785546992416
BNOI,2023-05-16,2023-05-25 00:00:00,1.25,1.2,-0.050000000000000044,-4.0000000000000036,0.96,Closed,1.25075,1.19928,-0.05147000000000013,-4.115130921447141,0.9588486907855286
BBOB,2023-05-17,2023-05-22 00:00:00,2.13,2.02,-0.10999999999999988,-5.164319248826286,0.9483568075117371,Closed,2.131278,2.018788,-0.1124900000000002,-5.278053824982015,0.9472194617501798
