Date,Cash,Equity_Value,Total_Value,Daily_Return,Total_Return,Drawdown,Active_Positions,Days_Since_Start
2024-06-09T00:00:00Z,92750.24,0,92750.24,0,-7.24976,0,1,0
2024-06-09T00:00:00Z,92750.24,0,92750.24,0,-7.24976,-7.24976,1,1
2024-06-09T00:00:00Z,81570.64,0,81570.64,-12.05344589943918,-18.42936,-18.42936,2,2
2024-06-09T00:00:00Z,75647.64,0,75647.64,-7.2611910363827,-24.35236,-24.35236,3,3
2024-06-09T00:00:00Z,70151.29,0,70151.29,-7.26572567234087,-29.84871,-29.84871,4,4
2024-06-09T00:00:00Z,70151.29,0,70151.29,0,-29.84871,-29.84871,4,5
2024-06-09T00:00:00Z,70151.29,0,70151.29,0,-29.84871,-29.84871,4,6
2024-06-09T00:00:00Z,70151.29,0,70151.29,0,-29.84871,-29.84871,4,7
2024-06-09T00:00:00Z,70151.29,0,70151.29,0,-29.84871,-29.84871,4,8
2024-06-09T00:00:00Z,70151.29,0,70151.29,0,-29.84871,-29.84871,4,9
2024-06-09T00:00:00Z,70151.29,0,70151.29,0,-29.84871,-29.84871,4,10
2024-06-09T00:00:00Z,70151.29,0,70151.29,0,-29.84871,-29.84871,4,11
2024-06-09T00:00:00Z,65051.05,0,65051.05,-7.27034385255068,-34.94895,-34.94895,5,12
2024-06-09T00:00:00Z,65051.05,0,65051.05,0,-34.94895,-34.94895,5,13
2024-06-09T00:00:00Z,65051.05,0,65051.05,0,-34.94895,-34.94895,5,14
2024-06-09T00:00:00Z,65051.05,0,65051.05,0,-34.94895,-34.94895,5,15
2024-06-09T00:00:00Z,65051.05,0,65051.05,0,-34.94895,-34.94895,5,16
2024-06-09T00:00:00Z,65051.05,0,65051.05,0,-34.94895,-34.94895,5,17
2024-06-09T00:00:00Z,65051.05,0,65051.05,0,-34.94895,-34.94895,5,18
2024-06-09T00:00:00Z,57195.4,0,57195.4,-12.07613097713258,-42.8046,-42.8046,6,19
2024-06-09T00:00:00Z,57195.4,0,57195.4,0,-42.8046,-42.8046,6,20
2024-06-09T00:00:00Z,57195.4,0,57195.4,0,-42.8046,-42.8046,6,21
2024-06-09T00:00:00Z,53027.65,0,53027.65,-7.28686223017935,-46.97235,-46.97235,7,22
2024-06-09T00:00:00Z,49160.09,0,49160.09,-7.29347802514349,-50.83991,-50.83991,8,23
2024-06-09T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,24
2024-06-09T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,25
2024-06-09T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,26
2024-06-09T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,27
2024-06-09T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,28
2024-06-09T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,29
2024-06-09T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,30
2024-06-09T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,31
2024-06-09T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,32
2024-06-10T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,33
2024-06-10T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,34
2024-06-10T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,35
2024-06-10T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,36
2024-06-10T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,37
2024-06-10T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,38
2024-06-10T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,39
2024-06-10T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,40
2024-06-10T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,41
2024-06-10T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,42
2024-06-10T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,43
2024-06-10T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,44
2024-06-10T00:00:00Z,49160.09,0,49160.09,0,-50.83991,-50.83991,8,45
2024-06-10T00:00:00Z,49160.09,4117.75,53277.84,8.37620516968134,-46.72216,-46.72216,8,46
2024-06-10T00:00:00Z,49160.09,7891.43,57051.52,7.08301988218742,-42.94848,-42.94848,8,47
2024-06-10T00:00:00Z,49160.09,15697.08,64857.17,13.68175641946087,-35.14283,-35.14283,8,48
2024-06-10T00:00:00Z,49160.09,15697.08,64857.17,0,-35.14283,-35.14283,8,49
2024-06-10T00:00:00Z,49160.09,22896.84,72056.93,11.10094689607949,-27.94307,-27.94307,8,50
2024-06-10T00:00:00Z,49160.09,22896.84,72056.93,0,-27.94307,-27.94307,8,51
2024-06-10T00:00:00Z,49160.09,22896.84,72056.93,0,-27.94307,-27.94307,8,52
2024-06-10T00:00:00Z,49160.09,22896.84,72056.93,0,-27.94307,-27.94307,8,53
2024-06-10T00:00:00Z,49160.09,22896.84,72056.93,0,-27.94307,-27.94307,8,54
2024-06-10T00:00:00Z,49160.09,27898.52,77058.61,6.94128933886026,-22.94139,-22.94139,8,55
2024-06-10T00:00:00Z,49160.09,27898.52,77058.61,0,-22.94139,-22.94139,8,56
2024-06-10T00:00:00Z,49160.09,27898.52,77058.61,0,-22.94139,-22.94139,8,57
2024-06-10T00:00:00Z,49160.09,27898.52,77058.61,0,-22.94139,-22.94139,8,58
