Date,Cash,Equity_Value,Total_Value,Daily_Return,Total_Return,Drawdown,Active_Positions,Days_Since_Start
2024-06-09T00:00:00Z,100000,0,100000,0,0,0,0,0
2024-06-09T00:00:00Z,100000,0,100000,0,0,0,0,1
2024-06-09T00:00:00Z,100000,0,100000,0,0,0,0,2
2024-06-09T00:00:00Z,100000,0,100000,0,0,0,0,3
2024-06-09T00:00:00Z,100000,0,100000,0,0,0,0,4
2024-06-09T00:00:00Z,100000,0,100000,0,0,0,0,5
2024-06-09T00:00:00Z,93951.04,0,93951.04,-6.04896,-6.04896,-6.04896,1,6
2024-06-09T00:00:00Z,88265.24,0,88265.24,-6.05187553006332,-11.73476,-11.73476,2,7
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,8
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,9
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,10
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,11
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,12
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,13
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,14
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,15
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,16
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,17
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,18
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,19
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,20
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,21
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,22
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,23
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,24
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,25
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,26
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,27
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,28
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,29
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,30
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,31
2024-06-09T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,32
2024-06-10T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,33
2024-06-10T00:00:00Z,88265.24,0,88265.24,0,-11.73476,-11.73476,2,34
2024-06-10T00:00:00Z,82919.56,0,82919.56,-6.05638187807567,-17.08044,-17.08044,3,35
