Ticker,Buy Date,Sell Date,Buy Price,Sell Price,Profit,Profit Percent,Gain Factor,Trade Status,Buy Price Commission,Sell Price Commission,Profit Commission,Profit Percent Commission,Gain Factor Commission,Simulation Status,Trade Iteration Number,1th Iteration,2th Iteration,3th Iteration
BBOB,2023-05-22,2023-06-05 00:00:00,2.02,2.24,0.2200000000000002,10.8910891089109,1.108910891089109,Closed,2.021212,2.238656,0.2174439999999999,10.75809959568813,1.1075809959568812,True,1,1.1075809959568812,,
IBSD,2023-05-25,2023-06-13 00:00:00,3.0,3.19,0.1899999999999999,6.333333333333331,1.0633333333333332,Closed,3.0018,3.188086,0.1862859999999999,6.205809847424877,1.0620580984742487,True,2,,1.0620580984742487,
BNOI,2023-05-29,2023-06-25 00:00:00,1.13,1.25,0.1200000000000001,10.619469026548684,1.106194690265487,Closed,1.1306779999999998,1.24925,0.1185720000000001,10.48680526197557,1.1048680526197556,True,3,,,1.1048680526197556
TASC,2023-06-22,2023-08-21 00:00:00,7.3,8.0,0.7000000000000002,9.589041095890414,1.095890410958904,Closed,7.30438,7.9952,0.6908199999999995,9.457613103370848,1.0945761310337083,True,1,1.0945761310337083,,
BBOB,2023-08-01,2023-08-06 00:00:00,2.24,2.46,0.2199999999999997,9.82142857142856,1.0982142857142856,Closed,2.241344,2.458524,0.2171799999999999,9.689721881157016,1.0968972188115702,True,2,,1.0968972188115702,
IBSD,2023-08-10,2023-09-17 00:00:00,3.05,3.37,0.3200000000000003,10.491803278688534,1.1049180327868853,Closed,3.05183,3.367978,0.3161480000000001,10.359292621148626,1.1035929262114863,True,2,,1.1035929262114863,
IBSD,2023-10-24,2024-01-18 00:00:00,3.52,3.77,0.25,7.102272727272728,1.0710227272727273,Closed,3.522112,3.767738,0.2456260000000001,6.97382706739593,1.069738270673959,True,1,1.069738270673959,,
BNOI,2023-10-29,2023-11-02 00:00:00,2.42,2.6,0.1800000000000001,7.438016528925627,1.0743801652892562,Closed,2.421452,2.59844,0.1769880000000001,7.309168218077425,1.0730916821807743,True,2,,1.0730916821807743,
BBOB,2024-01-02,2024-01-10 00:00:00,3.42,3.16,-0.2599999999999998,-7.602339181286544,0.9239766081871346,Closed,3.422052,3.158104,-0.2639479999999996,-7.713149887845059,0.9228685011215494,True,2,,0.9228685011215494,
BMNS,2024-02-07,2024-02-11 00:00:00,1.44,1.32,-0.1199999999999998,-8.333333333333325,0.9166666666666669,Closed,1.440864,1.3192080000000002,-0.1216559999999997,-8.443267372909572,0.9155673262709044,True,1,0.9155673262709044,,
IBSD,2024-02-28,2024-04-21 00:00:00,4.03,4.44,0.4100000000000001,10.173697270471466,1.1017369727047146,Closed,4.032418,4.437336,0.4049180000000003,10.041568111242444,1.1004156811124244,True,1,1.1004156811124244,,
TASC,2024-02-29,2024-04-21 00:00:00,9.78,9.83,0.0500000000000007,0.5112474437627885,1.005112474437628,Closed,9.785868,9.824102,0.0382340000000009,0.3907062715336135,1.003907062715336,True,2,,1.003907062715336,
BBOB,2024-03-25,2024-03-26 00:00:00,3.5,3.2,-0.2999999999999998,-8.571428571428566,0.9142857142857144,Closed,3.5021,3.19808,-0.3040199999999999,-8.681077068044885,0.9131892293195512,True,3,,,0.9131892293195512
BNOI,2024-04-14,2024-04-24 00:00:00,2.79,3.07,0.2799999999999998,10.035842293906803,1.100358422939068,Closed,2.791674,3.068158,0.2764839999999999,9.903878461453592,1.099038784614536,True,3,,,1.099038784614536
IBSD,2024-05-05,Open Trade - Last Close Price Used,4.22,4.35,0.1299999999999999,3.0805687203791448,1.0308056872037914,Open,4.222532,4.34739,0.1248579999999996,2.95694621142006,1.0295694621142006,True,1,1.0295694621142006,,
BNOI,2024-05-07,Open Trade - Last Close Price Used,2.93,3.0,0.0699999999999998,2.3890784982935096,1.023890784982935,Open,2.9317580000000003,2.9982,0.0664419999999998,2.26628528002652,1.0226628528002653,True,2,,1.0226628528002653,
