0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Ticker,Date,Close,Open,High,Low,Change,Change%,T.Shares,Volume,SMA10,SMA50,SMA200,RSI_14,CMF_20,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,OBV_SMA_Diff,EMA5,EMA10,EMA20,EMA50,PSARl_0.02_0.2,PSARl_0.01_0.1,OBV_RoC,ATR,Rolling_Std_10,Rolling_Std_50,RSI Strategy,RSI Strategy2,RSI14_OBV_RoC Strategy,RSIMACD Strategy,RSICMF Strategy,RSI OBV Strategy,OBV Strategy,MACD Strategy,CMF Strategy,EMA5 PSAR Strategy,EMA5 PSAR Strategy2,Rolling Std10 Strategy,Rolling Std50 Strategy,RSI Strategy Alt,RSI Strategy2 Alt,RSI14_OBV_RoC Strategy Alt,RSIMACD Strategy Alt,RSICMF Strategy Alt,RSI OBV Strategy Alt,OBV Strategy Alt,MACD Strategy Alt,CMF Strategy Alt,EMA5 PSAR Strategy Alt,EMA5 PSAR Strategy2 Alt,Rolling Std10 Strategy Alt,Rolling Std50 Strategy Alt
AAHP,2024-03-17 00:00:00,0.95,0.95,0.95,0.95,0.05,5.56,300000,285000,0.83,0.9,1.09,63.43,-0.19,-0.01,-0.03,0.02,-2279478.25,0.8868269288123445,0.8588087093204455,0.8587156524043584,0.8931985000219986,0.80784,0.80396,0.4872339112073742,0.0244932223572839,0.061904945054668,0.0712282906418197,Hold,Sell,Hold,Hold,Hold,Hold,Sell,Buy,Sell,Buy,Buy,Hold,Hold,Monitor-Monitor,Sell,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Sell-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
AIPM,2024-04-03 00:00:00,4.9,4.9,4.9,4.9,0.2,4.26,200000,980000,5.0,5.42,5.24,42.06,0.12,-0.13,-0.1,-0.02,-137697.90000009537,4.913280942502547,4.98872436707382,5.09578258494286,5.224990614211525,5.0,5.0,0.0135355948702287,0.130178355742402,0.1165475582471745,0.5197580284739655,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Buy,Sell,Sell,Hold,Hold,Hold-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Hold-Hold,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Buy,Sell-Monitor,Sell-Monitor,Hold-Hold,Monitor-Monitor
AIRP,2024-04-02 00:00:00,22.0,22.0,22.0,22.0,-0.01,-0.05,347,7634,21.23,22.41,22.7,52.66,0.07,-0.09,-0.46,0.37,-29764.59999999404,21.74449722060088,21.393629285700467,21.257796378237824,22.191029075868546,20.24,19.51147683568026,0.0001819961852556,0.8641225360977727,1.7002120782747632,2.114352711293757,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Buy,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
AISP,2024-04-04 00:00:00,8.85,8.75,8.85,8.75,0.1,1.14,1613105,14203430,8.93,9.57,10.83,44.02,-0.11,-0.19,-0.25,0.05,9695248.800000012,8.830981474192898,8.865145037650334,8.968422146062192,9.554577221440358,8.65,8.65,0.5508804494367414,0.2397513184645963,0.1781416415228909,0.9093924637147864,Hold,Hold,Hold,Hold,Hold,Hold,Buy,Buy,Sell,Buy,Buy,Hold,Hold,Hold-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Sell-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
AMAP,2024-04-04 00:00:00,0.53,0.53,0.53,0.53,0.0,0.0,15000,7950,0.57,0.45,0.38,47.16,0.57,0.01,0.04,-0.03,-1508090.1000000238,0.5356637313634027,0.5606321707547722,0.5653471461375378,0.4925141024950475,0.5108,0.5104,0.0,0.0295744325386377,0.0640832791503929,0.1747278934077051,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Buy,Buy,Buy,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
AMEF,2024-03-27 00:00:00,7.4,7.4,7.4,7.4,0.0,0.0,100000,740000,7.64,7.96,8.99,32.33,0.0,-0.17,-0.13,-0.04,8888273.2,7.453092461959427,7.566596739956799,7.707630132927632,7.998205674025792,7.4,7.4,0.0,0.0820695500715462,0.2913569784451106,0.2596079461688476,Buy,Buy,Hold,Hold,Hold,Buy,Buy,Hold,Hold,Buy,Buy,Hold,Buy,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Hold-Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Hold-Hold,Buy-Hold
BAIB,2024-03-27 00:00:00,0.9,0.9,0.9,0.9,0.0,0.0,200000,180000,0.97,1.04,,0.0,0.0,-0.04,-0.02,-0.02,-120000.0,0.922094193256128,0.9568641415376788,0.9941844980468262,1.032396521839755,0.9,0.9,0.0,,0.0661311827607323,0.046738962464361,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Buy,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Buy-Hold
BASH,2024-04-04 00:00:00,0.29,0.29,0.29,0.29,0.0,0.0,30000000,8700000,0.3,0.33,0.38,34.99,-0.47,-0.01,-0.01,0.0,-16524396.450000048,0.291556888148483,0.29501905671059,0.3024702616841065,0.3286034389279268,0.29,0.29,0.0,0.0084141591849743,0.0084327404271507,0.0373210013646361,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Hold-Hold,Monitor-Monitor
BBOB,2024-04-04 00:00:00,3.33,3.25,3.35,3.25,0.08,2.46,50528776,167769888,3.27,3.47,2.93,44.87,-0.5,-0.09,-0.06,-0.03,-367308651.75,3.260505727079255,3.300885781629765,3.3911794323886264,3.4293787393713897,3.05,3.05,-0.3825387519982626,0.1056660957120521,0.1679417888569117,0.2008386498295259,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Hold-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor
BCIH,2023-06-19 00:00:00,2.2,2.2,2.2,2.2,0.0,0.0,100000,220000,2.2,2.26,,0.06,0.0,-0.02,-0.02,0.0,-40000.0,2.2001370194956325,2.203629455615878,2.218208571678895,2.257906194756776,2.2,2.2,0.0,0.0025085368180689,0.0,0.0424090864348935,Buy,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Hold,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Monitor-Monitor,Buy-Hold,Buy-Hold,Hold-Hold,Hold-Hold
BCOI,2024-04-04 00:00:00,0.79,0.79,0.79,0.79,0.0,0.0,22040000,17411600,0.79,0.85,0.68,41.72,-0.47,-0.02,-0.02,-0.0,-75353578.79999924,0.7855594090191591,0.7899887540162744,0.8062603035188805,0.8221614559007173,0.77,0.77,0.0,0.0145508719991028,0.0204396129556671,0.0450505385140484,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Hold-Hold,Hold-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy-Hold,Buy-Hold,Hold-Hold,Hold-Hold
BEFI,2024-04-04 00:00:00,0.2,0.21,0.21,0.2,-0.01,-4.76,265000000,53050000,0.2,0.21,0.19,46.24,-0.16,-0.0,-0.0,-0.0,-100667186.6000061,0.2029219001287451,0.2037449880283567,0.205378224900728,0.2072445015590899,0.23,0.23,0.224015887926865,0.0103443511823193,0.0051639777950561,0.00961291648081,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Sell,Sell,Hold,Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell,Monitor-Monitor,Sell-Monitor,Sell,Sell,Monitor-Monitor,Monitor-Monitor
BGUC,2024-04-03 00:00:00,0.17,0.17,0.17,0.17,0.01,6.25,15002794,2550475,0.17,0.18,0.18,46.15,-0.25,-0.0,-0.0,-0.0,-61710446.55000305,0.166083508148075,0.1677632259717348,0.1716996431090539,0.1779478954222286,0.16,0.16,-0.0147882251376185,0.003821399578509,0.0048304589154103,0.0096235255961643,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Hold,Sell,Buy,Buy,Hold,Hold,Hold-Hold,Hold-Hold,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Sell-Monitor,Buy,Buy,Hold-Hold,Hold-Hold
BIBI,2024-04-04 00:00:00,0.34,0.33,0.34,0.33,0.01,3.03,152145090,50399728,0.35,0.39,0.38,33.08,0.22,-0.01,-0.01,-0.0,96666569.09999847,0.3397703320121216,0.344915199645286,0.3537630651936627,0.377488979415737,0.33,0.33,0.516285560270302,0.0071997789343951,0.0096609178306666,0.0521770924793035,Buy,Buy,Buy,Hold,Buy,Buy,Buy,Hold,Buy,Buy,Buy,Hold,Hold,Buy-Hold,Buy-Hold,Buy,Monitor-Monitor,Buy,Buy,Buy,Monitor-Monitor,Buy,Buy,Buy,Hold-Hold,Monitor-Monitor
BIIB,2024-04-04 00:00:00,0.87,0.85,0.9,0.85,0.02,2.35,4117614,3564706,0.9,0.93,0.65,39.08,0.04,-0.02,-0.0,-0.01,-20166140.15000153,0.8751650504412714,0.8941382131953629,0.9153119749362404,0.8953751187059604,0.85,0.85,0.0076599095438556,0.0236026701743148,0.0343187671366251,0.0655964782529056,Hold,Buy,Hold,Hold,Hold,Hold,Sell,Hold,Buy,Buy,Buy,Hold,Hold,Hold-Hold,Buy-Hold,Monitor-Monitor,Monitor-Monitor,Hold-Hold,Monitor-Monitor,Sell-Monitor,Monitor-Monitor,Buy-Hold,Buy,Buy,Hold-Hold,Monitor-Monitor
