Ticker,Buy Date,Sell Date,Buy Price,Sell Price,Profit,Profit Percent,Gain Factor,Trade Status,Buy Price Commission,Sell Price Commission,Profit Commission,Profit Percent Commission,Gain Factor Commission,Simulation Status,Trade Iteration Number,1th Iteration,2th Iteration
BNOI,2023-06-14,2023-07-06 00:00:00,1.17,1.22,0.05,4.273504273504278,1.0427350427350428,Closed,1.170702,1.219268,0.0485660000000001,4.148451100280012,1.0414845110028002,True,1,1.0414845110028002,
TASC,2023-07-06,2023-08-01 00:00:00,7.4,7.46,0.0599999999999996,0.8108108108108055,1.008108108108108,Closed,7.40444,7.455524,0.0510839999999994,0.6899103780974586,1.0068991037809747,True,2,,1.0068991037809747
IBSD,2023-09-10,2023-09-24 00:00:00,3.22,3.47,0.25,7.763975155279502,1.0776397515527951,Closed,3.221932,3.467918,0.2459859999999998,7.634735928629152,1.0763473592862915,True,1,1.0763473592862915,
BNOI,2024-01-08,2024-01-16 00:00:00,2.44,2.95,0.5100000000000002,20.901639344262303,1.209016393442623,Closed,2.441464,2.94823,0.5067660000000003,20.75664437403133,1.2075664437403133,True,1,1.2075664437403133,
BBOB,2024-01-28,2024-02-11 00:00:00,3.34,3.38,0.04,1.197604790419163,1.0119760479041915,Closed,3.342004,3.377972,0.035968,1.0762404832549572,1.0107624048325496,True,1,1.0107624048325496,
TASC,2024-04-04,2024-04-15 00:00:00,9.18,9.21,0.0300000000000011,0.3267973856209274,1.0032679738562094,Closed,9.185508,9.204474,0.0189660000000007,0.2064774207371078,1.0020647742073712,True,1,1.0020647742073712,
BBOB,2024-04-14,2024-04-24 00:00:00,3.53,4.39,0.8599999999999999,24.362606232294613,1.2436260623229465,Closed,3.532118,4.387366,0.8552480000000005,24.213460592199937,1.242134605921999,True,2,,1.242134605921999
TASC,2024-04-16,2024-04-28 00:00:00,9.25,9.62,0.3699999999999992,3.999999999999992,1.0399999999999998,Closed,9.25555,9.614228,0.3586779999999994,3.875274835098935,1.0387527483509893,True,1,1.0387527483509893,
BNOI,2024-05-02,Open Trade - Last Close Price Used,3.03,3.0,-0.0299999999999998,-0.9900990099009837,0.9900990099009902,Open,3.031818,2.9982,-0.0336179999999997,-1.1088396467070156,0.9889116035329298,True,1,0.9889116035329298,
