Ticker,Average Volume,Average Traded Volume,Volume STD,Days Traded,Days Traded2,Trading Activity Score,Relative Volume Score,Liqudity Score,Liquidity Score%
AAHP,588515.2857142857,502433.0416666667,24.661798100811197,28,24,0,0.0003196793405633242,0.0,0.0
AIPM,8779804.184,3130297.810810811,174.47603532221925,125,111,0.49603174603174605,0.0019916913438004233,0.09879421348216386,0.0018572611679558938
AIRP,3227531.677777778,1614421.4375,34.802452235807195,90,80,0,0.0010271959400187946,0.0,0.0
AISP,141923298.2516129,127783928.82014388,1.5312650710926867,155,139,0.6150793650793651,0.08130413152030659,5.000849359383937,0.09401242233339621
AMAP,418704.96428571426,329345.375,116.36790331991013,28,24,0,0.00020955013617004662,0.0,0.0
AMEF,10156365.837209303,1137829.3783783785,916.6130457569984,43,37,0,0.0007239582495350624,0.0,0.0
BAIB,319997257.14285713,224888777.45454547,254.56948226831693,14,11,0,0.14308831250086726,0.0,0.0
BASH,21611882.383116882,14663498.87591241,31.567176082460172,154,137,0.6111111111111112,0.009329835544758358,0.570156616624122,0.010718540149117894
BBOB,322076569.2178218,224878511.34444445,5.9426690176986785,202,180,0.8015873015873016,0.14308178055922513,11.46925383847757,0.2156138404146432
BCIH,548634.6153846154,530375.0,0.3452102166703865,26,20,0,0.0003374577629067616,0.0,0.0
BCOI,24204024.17525773,18447635.470930234,272.51230461410483,194,172,0.7698412698412699,0.011737540036652443,0.9036042726629261,0.016987119666870637
BEFI,22527669.57894737,16826809.51633987,2269.8827042243743,171,153,0.6785714285714286,0.010706269142101831,0.7264968346426243,0.013657625402000084
BELF,305358.8461538461,48276.09090909091,15.571599734114923,13,11,0,3.0716269884638735e-05,0.0,0.0
BGUC,19418878.866666667,11524864.783950618,521.6516084104886,180,162,0.7142857142857143,0.007332840137251743,0.5237742955179816,0.009846585397581277
BIBI,26300350.914634146,15509076.184931507,479.87679884369743,164,146,0.6507936507936508,0.009867844740264,0.6421930703981333,0.012072774405923586
BIIB,166238743.6283784,7209213.598484849,209.05832355714637,148,132,0.5873015873015873,0.004586952803698707,0.2693924662489717,0.005064387365100214
BIME,5563855.383333334,4408382.074074074,397.0134258310179,180,162,0.7142857142857143,0.0028048885274669934,0.20034918053335668,0.0037664225456237547
BINT,4177804.84057971,3518255.4590163934,8.930321246553609,69,61,0,0.0022385342758127246,0.0,0.0
BLAD,50374209.57692308,10363367.385714285,75.94782595481853,78,70,0,0.006593822812470491,0.0,0.0
BMFI,9391351.20610687,6981542.094017094,2253.09143742975,131,117,0.5198412698412699,0.004442093946144513,0.2309183757717981,0.004341101742419724
BMNS,192273923.9207317,68062591.5479452,205.05451502597796,164,146,0.6507936507936508,0.04330567971983266,2.818306140497046,0.05298215725055404
BNAI,2058865671.8333333,1571678172.2,80564.59111825084,12,10,0,1.0,0.0,0.0
BNOI,132010157.67948718,99423432.83333333,105.01156859137993,234,210,0.9285714285714286,0.06325940933197706,5.8740880093978705,0.1104286898238187
BROI,32324828.291262135,24759787.68478261,83.34760678215991,206,184,0.8174603174603174,0.01575372625435423,1.2878046065067348,0.024209813543497546
BSUC,29086165.548387095,25242086.608433735,1110.575775596011,186,166,0.7380952380952381,0.016060595009155357,1.1854248697233716,0.022285147079630058
BTIB,7250090.065934066,438823.44444444444,399.39320048306195,91,81,0,0.0002792069344770432,0.0,0.0
BUND,3705863.103448276,2265476.8701298703,4628.909045089799,87,77,0,0.0014414381456724734,0.0,0.0
BUOI,138221.15384615384,105076.54545454546,1619.7426768833916,26,22,0,6.68562733218224e-05,0.0,0.0
HASH,4414862.753968254,2720205.5178571427,21.843502580143223,126,112,0.5,0.0017307649657368846,0.08653824828684423,0.0016268577118142482
HBAG,7950837.295774648,5084980.69047619,199.0898154538729,142,126,0.5634920634920635,0.0032353829049864245,0.18231125893177472,0.003427322408475548
HBAY,15607976.090909092,11762628.724637682,138.80931879937953,77,69,0,0.0074841204342569806,0.0,0.0
HISH,16545223.311881188,13499464.072222222,29.139107325908597,202,180,0.8015873015873016,0.008589203763850695,0.6884996667848573,0.012943305586424314
HKAR,1336638.380952381,460724.4705882353,25.167937701677317,21,17,0,0.00029314173775367983,0.0,0.0
HMAN,47735608.24324324,16054548.090909092,65.71390437250297,74,66,0,0.0102149080994338,0.0,0.0
HNTI,2549927.705882353,2093692.6444444444,79.45624707314663,51,45,0,0.0013321382719935215,0.0,0.0
HTVM,1033235.2962962963,728955.9565217391,140.49386749418397,27,23,0,0.0004638073935336029,0.0,0.0
IBPM,6579573.4375,3492055.3571428573,13.355264631751712,32,28,0,0.0022218641315446637,0.0,0.0
IBSD,171204030.52857143,123338893.60638298,7.241469869267177,210,188,0.8333333333333334,0.07847592197182197,6.539660164318498,0.12294097444289688
IFCM,62209480.80645161,50676036.10769231,16.42318911522995,217,195,0.8611111111111112,0.03224326519516214,2.7765033918056283,0.052196295213478294
IHFI,899146.7931034482,767197.12,289.924758310682,29,25,0,0.00048813881465700743,0.0,0.0
IHLI,3955897.06,3486830.8636363638,29.236279753274896,50,44,0,0.002218539981856194,0.0,0.0
IIDP,10288064.176470589,4510723.690789473,41.648041171863724,170,152,0.6746031746031746,0.002870004667988398,0.19361142601509035,0.0036397575377763603
IIEW,2413994.8292682925,981474.6857142857,69.8744477251478,41,35,0,0.0006244756102583262,0.0,0.0
IITC,4942046.772277228,3862751.9775280897,367.85659694959963,101,89,0.4007936507936508,0.0024577245175588943,0.09850403820374934,0.0018518060784571816
IKHC,2346786.6515151514,964908.1896551724,140.80565977081656,66,58,0,0.0006139349688266749,0.0,0.0
IKLV,8712957.870967742,3920821.24691358,668.3172083073108,93,81,0,0.0024946718203926583,0.0,0.0
IMAP,27796317.135135137,20937577.257575758,7.490783094527366,222,198,0.8809523809523809,0.01332179680797361,1.173586861654818,0.022062600921138268
IMIB,2370107.1779661016,928387.7641509434,211.93320344095676,118,106,0.46825396825396826,0.0005906983888765261,0.027659686463265904,0.000519982494676508
IMOS,2498114.530973451,1825587.3168316833,33.513784731411874,113,101,0.44841269841269843,0.0011615528860315384,0.05208550639744597,0.0009791705914310386
INCP,2958885.1951219514,2429879.4,5.738474498356122,41,35,0,0.0015460413225684168,0.0,0.0
IRMC,5947643.936170213,4789758.008,16.072863805788096,141,125,0.5595238095238095,0.0030475437610076395,0.17051732948495127,0.0032056048968203605
NAHF,1647692.0,45973.0,73.85479555592187,3,1,0,2.9250899333702662e-05,0.0,0.0
NAME,797818.1803278689,485766.58490566036,143.00791684860485,61,53,0,0.0003090750978781458,0.0,0.0
NDSA,2172340.217391304,1915669.786885246,67.4501766604674,69,61,0,0.001218868990337719,0.0,0.0
NGIR,1485506.8974358975,883764.6142857143,302.8682968680635,78,70,0,0.0005623063486646508,0.0,0.0
SAEI,15509549.254237289,10388264.132075472,724.4433444101951,118,106,0.46825396825396826,0.006609663680404883,0.3095001247173715,0.005818382907809248
SBPT,24012684.163157895,20562889.15882353,66.66572747390272,190,170,0.753968253968254,0.013083396793657862,0.9864465836488071,0.018544496377861715
SKTA,11860548.409395972,8380747.842105263,80.82669390215672,149,133,0.5912698412698413,0.0053323561975630665,0.3152861402527369,0.005927155897565007
SMOF,3049472.413043478,2492811.463414634,94.34837944026921,92,82,0,0.0015860826392500268,0.0,0.0
SMRI,13138588.076502733,11435587.80981595,42.30659787648435,183,163,0.7261904761904762,0.007276036539852602,0.5283788439654866,0.009933147643750346
SNUC,645552.4642857143,589998.08,33.98900949867645,56,50,0,0.0003753936972822711,0.0,0.0
TASC,165070218.98507464,143114669.09497207,2.8674864523185417,201,179,0.7976190476190477,0.09105850779529714,7.263000026529653,0.13653925100149195
TZNI,395725.4342105263,328805.23529411765,32.84440224635965,76,68,0,0.00020920646549023672,0.0,0.0
VAMF,2324598.0,656345.7586206896,3450.349883899338,34,29,0,0.00041760824208810605,0.0,0.0
VWIF,141736.75,45977.7,45.294828669247565,12,10,0,2.9253889767802425e-05,0.0,0.0
VZAF,1938074.0,851274.8333333334,3.7548681601004756,8,6,0,0.0005416343169936233,0.0,0.0
