Ticker,Buy Date,Sell Date,Buy Price,Sell Price,Profit,Profit Percent,Gain Factor,Trade Status,Buy Price Commission,Sell Price Commission,Profit Commission,Profit Percent Commission,Gain Factor Commission,Simulation Status,Trade Iteration Number,1th Iteration
BNOI,2023-05-25,2023-05-29,1.2,1.13,-0.07,-5.833333333333339,0.9416666666666668,Closed,1.20072,1.129322,-0.071398,-5.946265573988946,0.9405373442601104,True,1,0.9405373442601104
BNOI,2023-05-30,2023-06-22,1.13,1.24,0.1100000000000001,9.734513274336292,1.097345132743363,Closed,1.1306779999999998,1.239256,0.108578,9.60291081987976,1.0960291081987976,True,1,1.0960291081987976
IBSD,2023-12-07,2024-01-18,3.36,3.77,0.4100000000000001,12.202380952380958,1.1220238095238095,Closed,3.362016,3.767738,0.4057220000000003,12.06781883251003,1.1206781883251002,True,1,1.1206781883251002
TASC,2024-03-27,2024-04-18,8.73,9.53,0.7999999999999989,9.163802978235957,1.0916380297823596,Closed,8.735238,9.524282,0.7890439999999987,9.03288496546973,1.0903288496546972,True,1,1.0903288496546972
